Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Jayson Tatum,21,6.0,1.0,23.4,jaytatum0,203,95
Jaylen Brown,23,5.3,1.1,20.3,FCHWPO,198,101
Gordon Hayward,29,5.6,1.1,17.5,gordonhayward,201,102
Marcus Smart,25,3.1,0.7,12.9,smart_MS3,190,99
Kemba Walker,29,3.2,0.6,20.4,KembaWalker,183,83
Daniel Theis,27,4.4,2.2,9.2,dtheis10,203,111
Brad Wanamaker,30,1.7,0.3,6.9,phillybul_22,190,95
Enes Freedom,27,4.6,2.8,8.1,EnesFreedom,208,113
Grant Williams,21,1.7,0.9,3.4,Grant2Will,198,107
Semi Ojeleye,25,1.7,0.4,3.4,semi,198,108
Robert Williams,22,3.0,1.4,5.2,rob_williamsIII,206,107
Romeo Langford,20,0.8,0.5,2.5,yeahyeah22,196,97
Tremont Waters,22,1.1,0.0,3.6,WatersTremont,178,79
Javonte Green,26,1.4,0.5,3.4,2Xtremebounce,193,92
Carsen Edwards,21,1.1,0.2,3.3,Cboogie_3,180,90
Vincent Poirier,26,1.4,0.6,1.9,viinze_17P,213,106
Tacko Fall,24,2.0,0.1,3.3,tackofall99,229,141
