Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Damian Lillard,33,3.9,0.5,24.3,Dame_Lillard,188,88
Giannis Antetokounmpo,29,8.8,2.7,30.4,Giannis_An34,211,109
Brook Lopez,35,3.7,1.5,12.5,RealBrookLopez,216,127
Malik Beasley,27,3.2,0.5,11.3,Mb5Malik,193,84
Khris Middleton,32,3.9,0.7,15.1,Khris22m,201,100
Bobby Portis,28,5.7,1.7,13.8,BPortistime,208,113
Jae Crowder,33,2.6,0.6,6.2,CJC9BOSS,198,106
Pat Connaughton,31,2.5,0.7,5.6,pconnaughton,196,94
Patrick Beverley,35,2.9,0.7,6.0,patbev21,188,81
Cameron Payne,29,1.2,0.1,6.2,campayne,190,83
MarJon Beauchamp,23,1.6,0.5,4.4,Marjon32,198,90
A.J. Green,24,1.0,0.2,4.5,Not Listed,193,90
Andre Jackson Jr.,22,1.2,0.8,2.2,andrejackson111,198,95
Danilo Gallinari,35,0.7,0.4,2.8,gallinari8888,208,105
TyTy Washington Jr.,22,0.4,0.1,1.3,tytywashington3,190,89
Thanasis Antetokounmpo,31,0.2,0.2,0.9,Thanasis_ante43,201,99
Chris Livingston,20,0.9,0.1,1.2,_chrisliv24,198,99
Robin Lopez,35,0.1,0.2,1.1,rolopez42,216,127
Ryan Rollins,21,0.7,0.0,1.0,_moneyballry,193,81
Lindell Wigginton,25,0.0,0.0,2.0,Lwigginton5,188,85
Marques Bolden,25,1.0,0.0,0.0,MarquesB__,208,112
