Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Jrue Holiday,32,3.9,1.2,19.3,Jrue_Holiday11,193,92
Giannis Antetokounmpo,28,9.6,2.2,31.1,Giannis_An34,211,109
Brook Lopez,34,4.7,2.0,15.9,RealBrookLopez,216,127
Grayson Allen,27,2.4,0.8,10.4,GraysonJAllen,193,89
Bobby Portis,27,7.4,2.2,14.1,BPortistime,208,113
Khris Middleton,31,3.4,0.8,15.1,Khris22m,201,100
Pat Connaughton,30,3.8,0.8,7.6,pconnaughton,196,94
Joe Ingles,35,2.5,0.3,6.9,Joeingles7,206,99
Jevon Carter,27,2.1,0.4,8.0,nextlevel_03,185,90
George Hill,36,1.5,0.4,5.0,George_Hill3,193,85
Jae Crowder,32,2.9,0.9,6.9,CJC9BOSS,198,106
Wesley Matthews,36,1.5,0.7,3.4,WessyWes23,196,99
Jordan Nwora,24,2.3,0.8,6.0,JordanNwora,203,102
MarJon Beauchamp,22,1.5,0.7,5.1,Marjon32,198,90
Meyers Leonard,30,2.4,1.3,4.8,MeyersLeonard,213,117
Lindell Wigginton,24,1.0,0.0,7.1,Lwigginton5,188,85
Goran Dragić,36,1.3,0.4,5.6,Goran_Dragic,193,86
Serge Ibaka,33,1.8,0.9,4.1,sergeibaka,211,106
A.J. Green,23,1.1,0.2,4.4,Not Listed,193,90
Sandro Mamukelashvili,23,1.6,0.8,2.4,Mamukelashvili5,211,108
Thanasis Antetokounmpo,30,0.8,0.4,1.4,Thanasis_ante43,201,99
