Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Jayson Tatum,25,7.2,0.9,26.9,jaytatum0,203,95
Jaylen Brown,27,4.3,1.2,23.0,FCHWPO,198,101
Jrue Holiday,33,4.2,1.2,12.5,Jrue_Holiday11,193,92
Derrick White,29,3.5,0.7,15.2,Dwhite921,193,86
Kristaps Porziņģis,28,5.5,1.7,20.1,kporzee,218,108
Al Horford,37,5.1,1.3,8.6,Al_Horford,206,108
Payton Pritchard,26,2.4,0.9,9.6,paytonpritch3,185,88
Sam Hauser,26,2.9,0.6,9.0,Big_Smooth10,203,97
Luke Kornet,28,2.3,1.9,5.3,Not Listed,218,113
Xavier Tillman Sr.,25,2.0,0.7,4.0,Rookiedunker,203,111
Neemias Queta,24,2.5,1.9,5.5,nemi1599,213,111
Oshae Brissett,25,1.8,1.1,3.7,Obrissy,201,95
Svi Mykhailiuk,26,1.0,0.3,4.0,Sviat_10,201,92
Jordan Walsh,19,1.7,0.6,1.7,jordanwalshlife,201,92
Drew Peterson,24,0.3,0.0,3.7,Drewpeterson23,206,92
Jaden Springer,21,0.7,0.5,2.1,JadenSpringer11,193,92
Dalano Banton,24,1.0,0.5,2.3,DALANOBANTON,206,92
Lamar Stevens,26,1.0,0.6,2.8,LamarStevens11,198,104
JD Davison,21,1.0,0.3,2.0,jddavison10,185,88
