Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Khris Middleton,29,5.2,0.8,20.4,Khris22m,201,100
Giannis Antetokounmpo,26,9.4,1.6,28.1,Giannis_An34,211,109
Justin Jackson,25,4.0,2.0,9.0,JJacks_44,203,99
Jrue Holiday,30,3.3,1.2,17.7,Jrue_Holiday11,193,92
Elijah Bryant,25,4.0,2.0,16.0,Elijah_Bryant3,196,95
Donte DiVincenzo,24,4.5,1.2,10.4,Divincenzo,193,92
Brook Lopez,32,3.5,1.5,12.3,RealBrookLopez,216,127
Pat Connaughton,28,3.9,0.9,6.8,pconnaughton,196,94
Bobby Portis,25,5.2,1.9,11.4,BPortistime,208,113
P.J. Tucker,35,1.9,0.9,2.6,Not Listed,196,111
Bryn Forbes,27,1.4,0.2,10.0,BrynjForbes,188,92
D.J. Augustin,33,1.1,0.3,6.1,augustinDj14,180,83
Jeff Teague,32,1.2,0.2,6.6,Teague0,190,88
Torrey Craig,30,1.7,0.7,2.5,TCraig_23,201,100
Mamadi Diakite,24,1.9,0.6,3.1,_mdiakite,206,103
Thanasis Antetokounmpo,28,1.2,0.9,2.9,Thanasis_ante43,201,99
Jordan Nwora,22,1.7,0.3,5.7,JordanNwora,203,102
D.J. Wilson,24,1.8,0.3,3.6,Lanky_Smoove,208,104
Sam Merrill,24,0.8,0.2,3.0,smerrill05,193,92
Axel Toupane,28,0.8,0.0,1.8,toups_33,201,89
Rodions Kurucs,22,1.2,0.6,3.0,RODIONS1,206,103
Jaylen Adams,24,0.4,0.0,0.3,10jadams,183,102
