Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Giannis Antetokounmpo,25,11.4,2.2,29.5,Giannis_An34,211,109
Khris Middleton,28,5.5,0.7,20.9,Khris22m,201,100
Eric Bledsoe,30,3.9,0.7,14.9,EBled2,185,97
Brook Lopez,31,3.7,0.9,12.0,RealBrookLopez,216,127
Wesley Matthews,33,2.1,0.3,7.4,WessyWes23,196,99
Donte DiVincenzo,23,3.8,1.0,9.2,Divincenzo,193,92
George Hill,33,2.2,0.8,9.4,George_Hill3,193,85
Marvin Williams,33,3.5,0.9,4.0,Not Listed,203,107
Pat Connaughton,27,3.3,0.9,5.4,pconnaughton,196,94
Kyle Korver,38,1.8,0.3,6.7,KyleKorver,201,96
Ersan İlyasova,32,3.8,1.0,6.6,Ersan,206,106
Sterling Brown,24,2.9,0.6,5.1,thatnegus_sb,196,99
Robin Lopez,31,1.6,0.8,5.4,rolopez42,216,127
Frank Mason III,25,1.6,0.6,6.9,FrankMason0,180,86
Dragan Bender,22,2.9,0.0,3.7,DBender03,213,102
D.J. Wilson,23,2.2,0.3,3.6,Lanky_Smoove,208,104
Thanasis Antetokounmpo,27,0.6,0.6,2.8,Thanasis_ante43,201,99
