Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Stephen Curry,35,4.0,0.5,26.4,StephenCurry30,188,83
Klay Thompson,33,2.8,0.5,17.9,KlayThompson,198,97
Draymond Green,33,5.9,1.4,8.6,Money23Green,198,104
Andrew Wiggins,28,3.0,1.5,13.2,22wiggins,201,89
Brandin Podziemski,20,4.2,1.6,9.2,brandinpodziem2,196,92
Chris Paul,38,3.6,0.3,9.2,CP3,183,79
Jonathan Kuminga,21,3.6,1.2,16.1,JonathanKuming6,203,95
Moses Moody,21,2.0,1.0,8.1,mosesmoody,198,92
Dario Šarić,29,3.3,1.1,8.0,dariosaric,208,102
Trayce Jackson-Davis,23,3.0,2.0,7.9,TrayceJackson,206,111
Kevon Looney,27,3.7,1.9,4.5,Loon_Rebel5,206,100
Gary Payton II,31,1.5,1.0,5.5,Garydwayne,188,86
Cory Joseph,32,0.9,0.2,2.4,Cory_Joe,188,90
Lester Quinones,23,1.4,0.6,4.4,Effort_les,196,94
Gui Santos,21,1.4,0.7,3.6,guisantos_4,203,94
Pat Spencer,27,0.3,0.3,0.7,Not Listed,190,92
Jerome Robinson,26,0.2,0.0,1.4,Rome_Coldbucks1,193,86
Usman Garuba,21,0.7,0.5,0.5,Usmangaruba,203,99
