Player,Age,DRB,ORB,PTS,Twitter Handle,Height,Weight (Kg)
Stephen Curry,32,5.0,0.5,32.0,StephenCurry30,188,83
Andrew Wiggins,25,3.7,1.2,18.6,22wiggins,201,89
Draymond Green,30,6.3,0.9,7.0,Money23Green,198,104
Kelly Oubre Jr.,25,4.5,1.5,15.4,KELLYOUBREJR,201,92
James Wiseman,19,4.4,1.4,11.5,BigTicket_JW,213,108
Juan Toscano-Anderson,27,3.9,0.5,5.7,juanonjuan10,198,94
Kent Bazemore,31,3.0,0.4,7.2,24Bazemore,193,88
Jordan Poole,21,1.5,0.3,12.0,Not Listed,193,87
Kevon Looney,24,3.4,1.9,4.1,Loon_Rebel5,206,100
Damion Lee,28,2.8,0.4,6.5,Dami0nLee,196,95
Eric Paschall,24,2.5,0.7,9.5,epaschall,198,115
Brad Wanamaker,31,1.5,0.2,4.7,phillybul_22,190,95
Jordan Bell,26,4.0,1.0,1.0,1jordanbell,203,97
Marquese Chriss,23,5.0,1.5,6.5,quese,206,108
Mychal Mulder,26,0.9,0.1,5.6,MychalMulder,190,83
Nico Mannion,19,1.3,0.2,4.1,niccolomannion,188,86
Alen Smailagić,20,0.7,0.4,1.9,Not Listed,208,97
Gary Payton II,28,0.9,0.2,2.5,Garydwayne,188,86
